kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,1861,True,,""
probe,warmup,,allMids,2922,266,True,,""
probe,warmup,,allMids,4218,511,True,,""
probe,warmup,,allMids,5780,293,True,,""
probe,warmup,,allMids,7106,342,True,,""
probe,warmup,,allMids,8480,353,True,,""
probe,warmup,,allMids,9898,374,True,,""
probe,warmup,,allMids,11296,524,True,,""
probe,warmup,,allMids,12905,522,True,,""
probe,warmup,,allMids,14478,300,True,,""
probe,cooldown,,allMids,15801,328,True,,""
probe,cooldown,,allMids,17149,289,True,,""
probe,cooldown,,allMids,18471,262,True,,""
probe,cooldown,,allMids,19761,338,False,,"[CancellationRequestedError.CancellationRequested] Cancellation requested"
