kind,phase,ordinal,symbol,atMs,durationMs,success,candles,error
probe,warmup,,allMids,2,1473,True,,""
probe,warmup,,allMids,2530,321,True,,""
probe,warmup,,allMids,3877,325,True,,""
probe,warmup,,allMids,5223,280,True,,""
probe,warmup,,allMids,6532,454,True,,""
probe,warmup,,allMids,7990,263,True,,""
probe,warmup,,allMids,9279,302,True,,""
probe,warmup,,allMids,10595,265,True,,""
probe,warmup,,allMids,11901,497,True,,""
probe,warmup,,allMids,13437,542,True,,""
probe,warmup,,allMids,15018,283,True,,""
probe,warmup,,allMids,16320,276,True,,""
probe,warmup,,allMids,17604,249,True,,""
probe,warmup,,allMids,18864,355,True,,""
probe,warmup,,allMids,20232,245,True,,""
probe,warmup,,allMids,21486,263,True,,""
probe,warmup,,allMids,22765,267,True,,""
probe,warmup,,allMids,24086,490,True,,""
probe,warmup,,allMids,25591,265,True,,""
probe,warmup,,allMids,26859,321,True,,""
probe,warmup,,allMids,28197,248,True,,""
probe,warmup,,allMids,29473,473,True,,""
probe,warmup,,allMids,30958,285,True,,""
probe,warmup,,allMids,32277,501,True,,""
probe,warmup,,allMids,33811,295,True,,""
probe,warmup,,allMids,35143,283,True,,""
probe,warmup,,allMids,36456,281,True,,""
probe,warmup,,allMids,37779,339,True,,""
probe,warmup,,allMids,39129,391,True,,""
probe,warmup,,allMids,40535,268,True,,""
probe,warmup,,allMids,41806,248,True,,""
probe,warmup,,allMids,43066,263,True,,""
probe,warmup,,allMids,44346,343,True,,""
probe,warmup,,allMids,45700,252,True,,""
probe,warmup,,allMids,46964,250,True,,""
probe,warmup,,allMids,48230,246,True,,""
probe,warmup,,allMids,49488,462,True,,""
probe,warmup,,allMids,51001,476,True,,""
probe,warmup,,allMids,52487,252,True,,""
probe,warmup,,allMids,53772,316,True,,""
probe,warmup,,allMids,55161,310,True,,""
probe,warmup,,allMids,56503,255,True,,""
probe,warmup,,allMids,57765,245,True,,""
probe,warmup,,allMids,59032,297,True,,""
probe,warmup,,allMids,60363,279,True,,""
probe,warmup,,allMids,61653,246,True,,""
probe,warmup,,allMids,62914,246,True,,""
probe,warmup,,allMids,64168,387,True,,""
probe,warmup,,allMids,65595,373,True,,""
probe,warmup,,allMids,66980,275,True,,""
probe,warmup,,allMids,68266,264,True,,""
probe,warmup,,allMids,69538,256,True,,""
probe,warmup,,allMids,70803,429,True,,""
probe,warmup,,allMids,72248,261,True,,""
probe,warmup,,allMids,73519,260,True,,""
probe,warmup,,allMids,74782,259,True,,""
burst,burst,0,BTC,75016,329,True,11,""
burst,burst,1,ETH,75052,402,True,11,""
burst,burst,3,SOL,75087,369,True,11,""
burst,burst,2,HYPE,75066,394,True,11,""
burst,burst,5,PUMP,75105,369,True,11,""
burst,burst,4,ZEC,75091,388,True,11,""
burst,burst,6,XRP,75133,346,True,11,""
burst,burst,7,XMR,75162,330,True,11,""
burst,burst,9,TRUMP,75186,316,True,10,""
burst,burst,8,ENA,75185,345,True,10,""
burst,burst,10,CASHCAT,75188,352,True,11,""
burst,burst,11,UNI,75205,343,True,11,""
burst,burst,13,NEAR,75233,328,True,11,""
burst,burst,12,FARTCOIN,75216,348,True,10,""
burst,burst,14,LIT,75247,330,True,11,""
burst,burst,15,XPL,75263,318,True,11,""
burst,burst,16,SUI,75346,281,True,10,""
burst,burst,19,LINK,75460,254,True,10,""
burst,burst,17,TAO,75455,262,True,10,""
burst,burst,18,BNB,75457,260,True,10,""
burst,burst,22,SKR,75480,276,True,11,""
burst,burst,21,AVAX,75479,278,True,10,""
burst,burst,20,kPEPE,75474,284,True,10,""
burst,burst,24,WLD,75503,261,True,11,""
burst,burst,23,DOGE,75493,310,True,11,""
burst,burst,25,NIL,75530,283,True,11,""
burst,burst,28,AAVE,75561,294,True,11,""
burst,burst,29,FET,75564,292,True,10,""
